,Flow Card?,Bags Checked,Meal Type,Date,Flight Number,From,To,Class,Price
654,Yes,1,Vegan,2024-07-15,PA011,Perth,Tokyo,Premium Economy,1670.0
655,Yes,2,Egg Free,2024-12-09,PA003,London,Perth,First Class,602.0
658,Yes,3,Dairy Free,2024-09-20,PA010,Tokyo,New York,First Class,214.0
664,Yes,2,Egg Free,2024-12-23,PA009,New York,Tokyo,Premium Economy,952.5
666,Yes,3,Vegan,2024-11-28,PA005,London,Tokyo,Economy,2830.0
669,Yes,1,Dairy Free,2024-12-03,PA002,New York,London,Business Class,710.4
672,Yes,2,Egg Free,2024-03-05,PA004,Perth,London,Economy,2655.0
673,Yes,0,Egg Free,2024-12-08,PA009,New York,Tokyo,First Class,644.0
674,Yes,3,Nut Free,2024-07-23,PA004,Perth,London,Economy,1360.0
675,Yes,2,Vegetarian,2024-03-23,PA011,Perth,Tokyo,Premium Economy,572.5
676,Yes,3,Egg Free,2024-03-25,PA004,Perth,London,Premium Economy,885.0
680,Yes,2,Egg Free,2024-05-18,PA008,Perth,New York,First Class,625.0
682,Yes,2,None,2024-03-29,PA002,New York,London,Economy,1515.0
683,Yes,2,Egg Free,2024-05-29,PA008,Perth,New York,Economy,3435.0
687,Yes,2,Vegetarian,2024-03-16,PA011,Perth,Tokyo,Economy,2305.0
688,Yes,1,Dairy Free,2024-08-07,PA006,Tokyo,London,Business Class,460.8
690,Yes,0,Nut Free,2024-09-16,PA001,London,New York,Premium Economy,507.5
691,Yes,1,Nut Free,2024-09-22,PA012,Tokyo,Perth,Economy,1550.0
694,Yes,1,Vegetarian,2024-04-04,PA012,Tokyo,Perth,Business Class,583.1999999999999
696,Yes,2,Vegan,2024-08-28,PA011,Perth,Tokyo,Premium Economy,780.0
698,Yes,0,None,2024-06-14,PA005,London,Tokyo,Business Class,421.2
700,Yes,1,Nut Free,2024-06-27,PA007,New York,Perth,Economy,2060.0
701,Yes,3,Vegetarian,2024-11-08,PA002,New York,London,Premium Economy,865.0
703,Yes,2,Egg Free,2024-10-27,PA002,New York,London,Economy,2780.0
704,Yes,3,Vegan,2024-11-24,PA011,Perth,Tokyo,Business Class,415.2
705,Yes,0,Egg Free,2024-03-27,PA003,London,Perth,Business Class,426.0
708,Yes,2,Vegetarian,2024-09-11,PA010,Tokyo,New York,First Class,692.0
709,Yes,1,Egg Free,2024-12-23,PA006,Tokyo,London,Premium Economy,1380.0
712,Yes,0,Vegetarian,2024-05-14,PA008,Perth,New York,Economy,2435.0
715,Yes,1,Egg Free,2024-07-03,PA012,Tokyo,Perth,Premium Economy,1582.5
716,Yes,1,None,2024-03-14,PA008,Perth,New York,Premium Economy,1127.5
718,Yes,1,Egg Free,2024-07-03,PA008,Perth,New York,Premium Economy,1457.5
719,Yes,0,None,2024-02-04,PA001,London,New York,Business Class,793.1999999999998
724,Yes,0,Dairy Free,2024-07-12,PA007,New York,Perth,First Class,346.0
725,Yes,1,None,2024-06-02,PA010,Tokyo,New York,Business Class,649.1999999999999
726,Yes,1,Egg Free,2024-09-28,PA003,London,Perth,Premium Economy,937.5
727,Yes,3,Vegetarian,2024-08-09,PA004,Perth,London,Business Class,547.1999999999999
728,Yes,1,Egg Free,2024-05-28,PA010,Tokyo,New York,Economy,3295.0
729,Yes,3,None,2024-03-11,PA011,Perth,Tokyo,First Class,438.0
730,Yes,1,Dairy Free,2024-07-26,PA005,London,Tokyo,Premium Economy,510.0
733,Yes,0,Vegetarian,2024-06-01,PA006,Tokyo,London,Business Class,782.4
735,Yes,3,Egg Free,2024-03-28,PA010,Tokyo,New York,Business Class,568.8
736,Yes,2,Vegan,2024-12-16,PA006,Tokyo,London,Economy,3150.0
737,Yes,1,Egg Free,2024-11-09,PA010,Tokyo,New York,First Class,613.0
738,Yes,2,Nut Free,2024-07-07,PA009,New York,Tokyo,Economy,2700.0
739,Yes,3,None,2024-10-03,PA005,London,Tokyo,Economy,1150.0
744,Yes,3,Vegan,2024-01-12,PA010,Tokyo,New York,Business Class,313.2
746,Yes,1,Dairy Free,2024-08-30,PA009,New York,Tokyo,Economy,2875.0
748,Yes,1,Egg Free,2024-01-23,PA009,New York,Tokyo,First Class,603.0
749,Yes,2,Dairy Free,2024-04-17,PA011,Perth,Tokyo,First Class,362.0
752,Yes,3,Vegetarian,2024-11-24,PA005,London,Tokyo,First Class,322.0
755,Yes,1,Egg Free,2024-11-20,PA011,Perth,Tokyo,First Class,678.0
756,Yes,1,Egg Free,2024-12-16,PA004,Perth,London,Premium Economy,1410.0
757,Yes,1,Egg Free,2024-06-15,PA005,London,Tokyo,Economy,1775.0
759,Yes,2,Dairy Free,2024-06-23,PA010,Tokyo,New York,Business Class,291.6
760,Yes,3,Egg Free,2024-06-05,PA008,Perth,New York,First Class,316.0
763,Yes,2,Egg Free,2024-10-24,PA010,Tokyo,New York,Business Class,333.6
764,Yes,3,None,2024-02-28,PA009,New York,Tokyo,First Class,403.0
765,Yes,2,None,2024-06-06,PA001,London,New York,Business Class,570.0
766,Yes,0,Egg Free,2024-09-20,PA010,Tokyo,New York,Premium Economy,1305.0
767,Yes,1,Dairy Free,2024-02-19,PA004,Perth,London,First Class,260.0
768,Yes,2,Vegan,2024-12-10,PA011,Perth,Tokyo,Economy,2830.0
770,Yes,2,Vegan,2024-11-12,PA009,New York,Tokyo,First Class,344.0
771,Yes,2,Dairy Free,2024-09-28,PA009,New York,Tokyo,Economy,3390.0
774,Yes,2,Vegan,2024-10-02,PA001,London,New York,First Class,517.0
780,Yes,3,Vegetarian,2024-08-12,PA006,Tokyo,London,Premium Economy,615.0
781,Yes,3,Vegetarian,2024-10-07,PA008,Perth,New York,First Class,642.0
783,Yes,0,Nut Free,2024-04-04,PA005,London,Tokyo,First Class,521.0
796,Yes,1,Vegetarian,2024-07-30,PA003,London,Perth,First Class,612.0
797,Yes,0,Nut Free,2024-05-29,PA009,New York,Tokyo,Business Class,294.0
798,Yes,1,Dairy Free,2024-01-04,PA002,New York,London,First Class,684.0
801,Yes,3,None,2024-01-16,PA007,New York,Perth,Business Class,406.8
802,Yes,3,Nut Free,2024-08-09,PA003,London,Perth,Premium Economy,1572.5
804,Yes,1,Nut Free,2024-07-13,PA010,Tokyo,New York,First Class,403.0
805,Yes,0,Dairy Free,2024-10-13,PA012,Tokyo,Perth,Premium Economy,1352.5
807,Yes,1,Egg Free,2024-07-20,PA011,Perth,Tokyo,First Class,606.0
808,Yes,2,Vegetarian,2024-08-27,PA005,London,Tokyo,Economy,3080.0
809,Yes,2,Dairy Free,2024-03-25,PA002,New York,London,Premium Economy,1342.5
812,Yes,2,Vegan,2024-08-09,PA006,Tokyo,London,Business Class,658.8
814,Yes,3,Egg Free,2024-05-22,PA006,Tokyo,London,Premium Economy,1660.0
815,Yes,0,Egg Free,2024-01-14,PA012,Tokyo,Perth,First Class,379.0
816,Yes,1,Vegan,2024-09-06,PA006,Tokyo,London,Business Class,272.4
818,Yes,0,Nut Free,2024-04-11,PA011,Perth,Tokyo,Economy,1410.0
820,Yes,1,None,2024-09-01,PA005,London,Tokyo,Business Class,243.6
821,Yes,1,None,2024-11-18,PA008,Perth,New York,Premium Economy,1127.5
822,Yes,3,Nut Free,2024-12-31,PA005,London,Tokyo,First Class,247.0
823,Yes,0,Nut Free,2024-08-03,PA011,Perth,Tokyo,Economy,2695.0
829,Yes,1,None,2024-05-31,PA009,New York,Tokyo,First Class,484.0
831,Yes,1,Egg Free,2024-12-19,PA006,Tokyo,London,First Class,216.0
836,Yes,0,None,2024-02-07,PA001,London,New York,Business Class,266.4
839,Yes,0,Vegan,2024-01-24,PA012,Tokyo,Perth,Economy,3370.0
840,Yes,0,Vegetarian,2024-01-21,PA012,Tokyo,Perth,Business Class,422.4
842,Yes,1,Egg Free,2024-04-18,PA003,London,Perth,First Class,350.0
846,Yes,2,Vegetarian,2024-07-11,PA011,Perth,Tokyo,First Class,237.0
847,Yes,3,None,2024-11-19,PA006,Tokyo,London,Premium Economy,1295.0
849,Yes,1,Dairy Free,2024-12-19,PA001,London,New York,Business Class,571.1999999999999
851,Yes,3,Dairy Free,2024-02-03,PA008,Perth,New York,Business Class,421.2
853,Yes,2,Dairy Free,2024-02-06,PA004,Perth,London,First Class,306.0
854,Yes,0,Vegetarian,2024-04-10,PA011,Perth,Tokyo,Economy,1695.0
867,Yes,0,None,2024-11-21,PA006,Tokyo,London,Business Class,367.2
868,Yes,3,Nut Free,2024-02-16,PA003,London,Perth,First Class,618.0
869,Yes,3,Vegetarian,2024-12-02,PA001,London,New York,Premium Economy,1037.5
870,Yes,3,Vegan,2024-08-11,PA008,Perth,New York,Business Class,294.0
871,Yes,0,Egg Free,2024-12-11,PA008,Perth,New York,Business Class,834.0
877,Yes,0,None,2024-04-09,PA008,Perth,New York,Premium Economy,1307.5
879,Yes,2,Nut Free,2024-03-06,PA006,Tokyo,London,Premium Economy,1220.0
881,Yes,3,Dairy Free,2024-10-25,PA007,New York,Perth,First Class,485.0
882,Yes,2,Nut Free,2024-07-11,PA002,New York,London,Economy,3080.0
883,Yes,1,Dairy Free,2024-03-13,PA005,London,Tokyo,First Class,518.0
885,Yes,3,Vegan,2024-01-24,PA011,Perth,Tokyo,Economy,3060.0
890,Yes,3,Vegan,2024-09-17,PA001,London,New York,Economy,2000.0
893,Yes,1,Nut Free,2024-08-08,PA001,London,New York,First Class,627.0
895,Yes,2,Egg Free,2024-12-23,PA009,New York,Tokyo,Premium Economy,922.5
896,Yes,2,Vegan,2024-05-14,PA001,London,New York,Business Class,583.1999999999999
897,Yes,3,Nut Free,2024-02-15,PA008,Perth,New York,Premium Economy,1732.5
899,Yes,3,Vegetarian,2024-10-02,PA010,Tokyo,New York,Premium Economy,927.5
900,Yes,2,None,2024-09-16,PA001,London,New York,Economy,2415.0
901,Yes,2,None,2024-07-10,PA009,New York,Tokyo,Premium Economy,1142.5
903,Yes,1,Dairy Free,2024-08-12,PA003,London,Perth,Economy,2750.0
905,Yes,0,Egg Free,2024-03-06,PA012,Tokyo,Perth,Economy,1380.0
906,Yes,3,Nut Free,2024-01-28,PA004,Perth,London,Economy,2990.0
909,Yes,0,Vegetarian,2024-07-24,PA012,Tokyo,Perth,Premium Economy,1075.0
910,Yes,0,Nut Free,2024-01-17,PA010,Tokyo,New York,Premium Economy,1325.0
912,Yes,3,None,2024-03-01,PA004,Perth,London,Premium Economy,1447.5
913,Yes,1,Vegetarian,2024-09-02,PA006,Tokyo,London,First Class,642.0
914,Yes,0,Egg Free,2024-10-23,PA009,New York,Tokyo,Premium Economy,740.0
915,Yes,2,Dairy Free,2024-07-16,PA012,Tokyo,Perth,Economy,1170.0
917,Yes,3,Egg Free,2024-04-04,PA009,New York,Tokyo,First Class,691.0
919,Yes,3,Nut Free,2024-07-31,PA005,London,Tokyo,Business Class,577.1999999999999
922,Yes,1,Egg Free,2024-10-22,PA006,Tokyo,London,Premium Economy,1020.0
925,Yes,2,Vegan,2024-08-24,PA004,Perth,London,Economy,2985.0
927,Yes,3,Vegetarian,2024-03-23,PA003,London,Perth,Premium Economy,1302.5
928,Yes,0,Dairy Free,2024-07-20,PA007,New York,Perth,Premium Economy,1677.5
929,Yes,1,Nut Free,2024-05-11,PA005,London,Tokyo,Business Class,747.6
930,Yes,2,Nut Free,2024-11-30,PA004,Perth,London,Premium Economy,1357.5
931,Yes,0,Nut Free,2024-04-20,PA006,Tokyo,London,Economy,3015.0
935,Yes,2,Egg Free,2024-02-19,PA008,Perth,New York,Economy,2515.0
936,Yes,0,Vegan,2024-04-27,PA007,New York,Perth,First Class,689.0
937,Yes,3,Nut Free,2024-11-10,PA009,New York,Tokyo,Premium Economy,1225.0
938,Yes,1,Egg Free,2024-03-29,PA009,New York,Tokyo,First Class,500.0
939,Yes,3,Nut Free,2024-01-17,PA005,London,Tokyo,Premium Economy,942.5
940,Yes,0,None,2024-03-17,PA001,London,New York,Economy,2880.0
943,Yes,1,Vegan,2024-09-02,PA007,New York,Perth,First Class,570.0
945,Yes,0,Vegan,2024-09-25,PA003,London,Perth,Business Class,762.0
946,Yes,0,Nut Free,2024-07-21,PA002,New York,London,Economy,2340.0
947,Yes,0,Vegetarian,2024-09-07,PA005,London,Tokyo,First Class,388.0
948,Yes,3,Nut Free,2024-11-07,PA007,New York,Perth,First Class,345.0
949,Yes,3,Vegetarian,2024-08-02,PA002,New York,London,Premium Economy,1667.5
951,Yes,2,Dairy Free,2024-08-28,PA001,London,New York,Economy,1925.0
952,Yes,3,Egg Free,2024-02-24,PA005,London,Tokyo,First Class,688.0
954,Yes,1,Nut Free,2024-04-14,PA005,London,Tokyo,Premium Economy,665.0
955,Yes,0,Vegetarian,2024-10-24,PA009,New York,Tokyo,Economy,3235.0
956,Yes,3,Vegan,2024-03-31,PA007,New York,Perth,Premium Economy,935.0
958,Yes,1,Vegan,2024-06-29,PA002,New York,London,Business Class,452.4
959,Yes,3,Egg Free,2024-01-19,PA005,London,Tokyo,Economy,2525.0
961,Yes,1,Nut Free,2024-04-04,PA003,London,Perth,Economy,1325.0
966,Yes,1,None,2024-08-10,PA008,Perth,New York,First Class,251.0
967,Yes,0,Vegan,2024-05-05,PA006,Tokyo,London,Economy,1310.0
968,Yes,2,Dairy Free,2024-12-02,PA001,London,New York,Premium Economy,1255.0
969,Yes,2,Egg Free,2024-07-10,PA011,Perth,Tokyo,Business Class,241.2
970,Yes,0,Nut Free,2024-09-21,PA007,New York,Perth,Premium Economy,807.5
971,Yes,0,Vegetarian,2024-10-08,PA008,Perth,New York,Business Class,414.0
972,Yes,3,Vegan,2024-10-07,PA008,Perth,New York,Economy,2685.0
973,Yes,1,Egg Free,2024-10-04,PA004,Perth,London,Premium Economy,945.0
974,Yes,1,Egg Free,2024-10-08,PA003,London,Perth,Business Class,758.4
977,Yes,2,Vegan,2024-09-15,PA006,Tokyo,London,Premium Economy,1090.0
980,Yes,1,Dairy Free,2024-07-29,PA001,London,New York,Premium Economy,1477.5
982,Yes,2,Vegetarian,2024-09-27,PA012,Tokyo,Perth,Business Class,657.6
984,Yes,2,None,2024-09-28,PA011,Perth,Tokyo,Business Class,580.8
985,Yes,1,Dairy Free,2024-09-23,PA008,Perth,New York,Economy,1205.0
986,Yes,2,Dairy Free,2024-07-30,PA007,New York,Perth,Premium Economy,1632.5
996,Yes,2,Vegan,2024-03-15,PA004,Perth,London,First Class,449.0
998,Yes,1,Vegetarian,2024-04-24,PA011,Perth,Tokyo,Economy,1870.0
1000,Yes,2,Nut Free,2024-11-14,PA004,Perth,London,Economy,2290.0
1003,Yes,3,Nut Free,2024-07-07,PA002,New York,London,Business Class,530.4
1004,Yes,0,Vegan,2024-03-02,PA001,London,New York,First Class,323.0
1005,Yes,2,None,2024-05-08,PA006,Tokyo,London,First Class,440.0
1008,Yes,3,Nut Free,2024-09-02,PA012,Tokyo,Perth,Premium Economy,570.0
1009,Yes,2,None,2024-05-19,PA010,Tokyo,New York,First Class,362.0
1013,Yes,0,None,2024-10-19,PA002,New York,London,Premium Economy,1130.0
1014,Yes,0,Vegan,2024-10-03,PA008,Perth,New York,Economy,1140.0
1015,Yes,3,Nut Free,2024-06-10,PA004,Perth,London,First Class,478.0
1017,Yes,0,Nut Free,2024-02-02,PA002,New York,London,Economy,1530.0
1019,Yes,3,Nut Free,2024-08-29,PA007,New York,Perth,Economy,1265.0
1021,Yes,3,Nut Free,2024-11-30,PA001,London,New York,First Class,401.0
1025,Yes,0,None,2024-12-05,PA004,Perth,London,Business Class,609.6
1027,Yes,0,Vegetarian,2024-11-29,PA009,New York,Tokyo,Economy,2375.0
1028,Yes,1,Nut Free,2024-10-25,PA010,Tokyo,New York,First Class,466.0
1029,Yes,2,Dairy Free,2024-08-28,PA005,London,Tokyo,Premium Economy,1122.5
1030,Yes,3,Vegan,2024-06-15,PA001,London,New York,Premium Economy,1005.0
1031,Yes,3,None,2024-12-26,PA008,Perth,New York,First Class,297.0
1034,Yes,2,Dairy Free,2024-05-17,PA002,New York,London,Premium Economy,1547.5
1035,Yes,0,None,2024-07-30,PA004,Perth,London,First Class,552.0
1036,Yes,0,Egg Free,2024-11-04,PA008,Perth,New York,Business Class,432.0
1038,Yes,1,None,2024-10-20,PA006,Tokyo,London,Premium Economy,802.5
1039,Yes,2,Dairy Free,2024-03-29,PA012,Tokyo,Perth,Business Class,508.8
1040,Yes,0,Vegetarian,2024-07-26,PA002,New York,London,Economy,2885.0
1042,Yes,1,Egg Free,2024-10-04,PA003,London,Perth,Business Class,711.6
1043,Yes,0,Nut Free,2024-12-01,PA010,Tokyo,New York,Premium Economy,1677.5
1045,Yes,0,Nut Free,2024-03-09,PA012,Tokyo,Perth,Premium Economy,840.0
1046,Yes,2,Dairy Free,2024-08-23,PA002,New York,London,Economy,2010.0
1048,Yes,2,None,2024-06-25,PA005,London,Tokyo,Premium Economy,1152.5
1049,Yes,3,Dairy Free,2024-04-16,PA003,London,Perth,Premium Economy,825.0
1052,Yes,1,Nut Free,2024-06-11,PA005,London,Tokyo,First Class,468.0
1056,Yes,2,None,2024-08-13,PA007,New York,Perth,Business Class,302.4
1058,Yes,0,Nut Free,2024-05-20,PA001,London,New York,Business Class,799.1999999999998
1061,Yes,3,Dairy Free,2024-01-15,PA009,New York,Tokyo,Business Class,397.2
1064,Yes,0,Vegan,2024-05-21,PA001,London,New York,First Class,493.0
1065,Yes,0,Egg Free,2024-06-07,PA008,Perth,New York,Economy,2110.0
1067,Yes,2,None,2024-01-23,PA011,Perth,Tokyo,First Class,635.0
1069,Yes,0,None,2024-07-31,PA002,New York,London,First Class,392.0
1070,Yes,3,None,2024-09-05,PA006,Tokyo,London,Economy,3345.0
1075,Yes,0,Egg Free,2024-01-21,PA009,New York,Tokyo,Business Class,352.8
1076,Yes,1,None,2024-04-15,PA011,Perth,Tokyo,First Class,334.0
1080,Yes,1,None,2024-10-01,PA012,Tokyo,Perth,First Class,382.0
1083,Yes,2,Vegan,2024-01-17,PA002,New York,London,Business Class,672.0
1086,Yes,0,Nut Free,2024-03-22,PA011,Perth,Tokyo,First Class,563.0
1087,Yes,0,Dairy Free,2024-02-23,PA012,Tokyo,Perth,Business Class,472.8
1088,Yes,0,Vegan,2024-12-09,PA011,Perth,Tokyo,Economy,3460.0
1090,Yes,3,Egg Free,2024-05-19,PA009,New York,Tokyo,Business Class,685.1999999999999
1091,Yes,0,Vegan,2024-02-12,PA005,London,Tokyo,Premium Economy,1157.5
1092,Yes,3,None,2024-04-25,PA001,London,New York,First Class,295.0
1094,Yes,1,Egg Free,2024-10-08,PA003,London,Perth,Business Class,655.1999999999999
1095,Yes,3,Vegetarian,2024-02-12,PA011,Perth,Tokyo,First Class,207.0
1096,Yes,0,Vegan,2024-06-26,PA008,Perth,New York,Premium Economy,1592.5
1098,Yes,2,Vegetarian,2024-11-09,PA012,Tokyo,Perth,First Class,275.0
1099,Yes,1,Vegan,2024-05-22,PA006,Tokyo,London,Business Class,660.0
1101,Yes,3,Egg Free,2024-08-05,PA007,New York,Perth,Business Class,481.2
1102,Yes,2,Egg Free,2024-05-10,PA011,Perth,Tokyo,Premium Economy,1277.5
1106,Yes,1,None,2024-02-11,PA012,Tokyo,Perth,Business Class,595.1999999999999
1107,Yes,1,Nut Free,2024-07-25,PA004,Perth,London,Business Class,822.0
1111,Yes,2,Vegan,2024-12-25,PA004,Perth,London,Business Class,303.6
1112,Yes,2,Dairy Free,2024-06-27,PA012,Tokyo,Perth,Business Class,835.1999999999998
1113,Yes,3,None,2024-08-09,PA008,Perth,New York,First Class,665.0
1114,Yes,1,Egg Free,2024-04-15,PA006,Tokyo,London,First Class,678.0
1116,Yes,1,None,2024-10-05,PA012,Tokyo,Perth,Business Class,252.0
1120,Yes,3,Vegetarian,2024-06-12,PA007,New York,Perth,Business Class,721.1999999999998
1121,Yes,2,Nut Free,2024-10-23,PA002,New York,London,Business Class,276.0
1122,Yes,0,Dairy Free,2024-06-05,PA005,London,Tokyo,First Class,539.0
1125,Yes,0,Vegan,2024-05-01,PA010,Tokyo,New York,Economy,1250.0
1127,Yes,1,None,2024-10-18,PA001,London,New York,Business Class,331.2
1128,Yes,0,Vegan,2024-09-10,PA012,Tokyo,Perth,Business Class,823.1999999999998
1129,Yes,3,Dairy Free,2024-08-09,PA007,New York,Perth,Business Class,241.2
1130,Yes,1,Nut Free,2024-08-27,PA002,New York,London,Business Class,470.4
1133,Yes,0,Nut Free,2024-02-15,PA011,Perth,Tokyo,First Class,371.0
1134,Yes,1,Vegetarian,2024-11-21,PA003,London,Perth,First Class,469.0
1136,Yes,0,Vegan,2024-02-02,PA001,London,New York,Business Class,358.8
1137,Yes,2,Nut Free,2024-12-13,PA008,Perth,New York,First Class,208.0
1139,Yes,0,Dairy Free,2024-07-02,PA003,London,Perth,First Class,357.0
1145,Yes,2,Nut Free,2024-11-02,PA007,New York,Perth,Premium Economy,885.0
1152,Yes,0,Vegetarian,2024-09-29,PA002,New York,London,Business Class,260.4
1160,Yes,2,Dairy Free,2024-07-24,PA009,New York,Tokyo,Economy,2040.0
1161,Yes,1,Nut Free,2024-08-16,PA008,Perth,New York,Premium Economy,765.0
1163,Yes,2,Nut Free,2024-08-21,PA010,Tokyo,New York,Economy,1225.0
1164,Yes,3,Vegetarian,2024-03-18,PA002,New York,London,Premium Economy,1617.5
1166,Yes,1,None,2024-12-20,PA001,London,New York,First Class,473.0
1167,Yes,3,Vegan,2024-02-03,PA005,London,Tokyo,Business Class,330.0
1171,Yes,1,Vegan,2024-08-17,PA001,London,New York,Premium Economy,522.5
1173,Yes,1,None,2024-08-25,PA002,New York,London,First Class,370.0
1174,Yes,0,Dairy Free,2024-09-18,PA011,Perth,Tokyo,Business Class,694.8
1175,Yes,1,None,2024-02-16,PA010,Tokyo,New York,First Class,340.0
1180,Yes,0,Dairy Free,2024-05-01,PA005,London,Tokyo,Economy,1810.0
1182,Yes,1,Dairy Free,2024-09-08,PA006,Tokyo,London,Economy,1865.0
1187,Yes,3,Vegan,2024-07-10,PA010,Tokyo,New York,Economy,2920.0
1188,Yes,3,Vegan,2024-03-29,PA007,New York,Perth,First Class,698.0
1189,Yes,0,Egg Free,2024-02-07,PA004,Perth,London,Premium Economy,1045.0
1190,Yes,0,None,2024-03-11,PA010,Tokyo,New York,First Class,561.0
1191,Yes,3,Egg Free,2024-11-28,PA004,Perth,London,Economy,1220.0
1194,Yes,1,Egg Free,2024-06-12,PA001,London,New York,Business Class,328.8
1196,Yes,1,Vegan,2024-02-28,PA003,London,Perth,First Class,660.0
1198,Yes,1,Vegan,2024-11-12,PA006,Tokyo,London,Business Class,546.0
1202,Yes,0,Egg Free,2024-05-28,PA007,New York,Perth,First Class,622.0
1204,Yes,3,Dairy Free,2024-04-13,PA010,Tokyo,New York,First Class,283.0
1205,Yes,0,Nut Free,2024-05-06,PA004,Perth,London,Economy,1905.0
1206,Yes,2,Vegetarian,2024-11-11,PA011,Perth,Tokyo,Premium Economy,1080.0
1207,Yes,2,Nut Free,2024-10-21,PA008,Perth,New York,Premium Economy,1212.5
1212,Yes,2,Vegetarian,2024-12-02,PA004,Perth,London,Economy,2870.0
1213,Yes,3,Vegetarian,2024-11-15,PA001,London,New York,Premium Economy,1590.0
1216,Yes,1,Dairy Free,2024-10-25,PA006,Tokyo,London,Business Class,726.0
1220,Yes,1,Vegan,2024-01-17,PA010,Tokyo,New York,Premium Economy,1417.5
1221,Yes,1,Nut Free,2024-04-14,PA011,Perth,Tokyo,Business Class,249.6
1222,Yes,3,Dairy Free,2024-08-26,PA007,New York,Perth,Business Class,342.0
1224,Yes,3,Vegetarian,2024-11-05,PA009,New York,Tokyo,Economy,2825.0
1227,Yes,0,Egg Free,2024-04-27,PA001,London,New York,First Class,633.0
1229,Yes,2,None,2024-03-10,PA010,Tokyo,New York,Premium Economy,1480.0
1231,Yes,1,Vegetarian,2024-06-28,PA002,New York,London,Economy,1890.0
1233,Yes,1,Dairy Free,2024-05-01,PA002,New York,London,Business Class,697.1999999999999
1238,Yes,3,Egg Free,2024-04-05,PA003,London,Perth,First Class,315.0
1240,Yes,1,Egg Free,2024-11-10,PA008,Perth,New York,First Class,554.0
1251,Yes,2,Vegetarian,2024-12-02,PA001,London,New York,First Class,543.0
1252,Yes,0,None,2024-05-09,PA003,London,Perth,Business Class,796.7999999999998
1255,Yes,1,Dairy Free,2024-08-04,PA008,Perth,New York,Economy,1740.0
1258,Yes,2,Dairy Free,2024-07-02,PA009,New York,Tokyo,Business Class,694.8
1259,Yes,2,Vegan,2024-06-27,PA007,New York,Perth,Premium Economy,720.0
1264,Yes,0,Vegan,2024-03-21,PA005,London,Tokyo,Economy,1370.0
1265,Yes,0,Dairy Free,2024-04-14,PA004,Perth,London,Business Class,362.4
1267,Yes,0,Dairy Free,2024-02-13,PA010,Tokyo,New York,Premium Economy,1647.5
1269,Yes,2,Vegetarian,2024-06-28,PA001,London,New York,Business Class,550.8
1270,Yes,1,Nut Free,2024-05-26,PA006,Tokyo,London,First Class,349.0
1271,Yes,0,None,2024-10-22,PA007,New York,Perth,First Class,458.0
1272,Yes,2,Vegetarian,2024-10-01,PA006,Tokyo,London,Business Class,343.2
1275,Yes,0,None,2024-11-06,PA006,Tokyo,London,Premium Economy,1207.5
1277,Yes,3,Dairy Free,2024-02-22,PA008,Perth,New York,First Class,254.0
1278,Yes,3,Egg Free,2024-05-24,PA009,New York,Tokyo,Business Class,514.8
1279,Yes,0,Vegetarian,2024-04-30,PA012,Tokyo,Perth,Premium Economy,1452.5
1282,Yes,2,Nut Free,2024-02-01,PA011,Perth,Tokyo,Economy,2425.0
1283,Yes,0,Vegetarian,2024-07-25,PA009,New York,Tokyo,Premium Economy,750.0
1285,Yes,1,None,2024-11-01,PA012,Tokyo,Perth,First Class,608.0
1288,Yes,2,Egg Free,2024-11-25,PA010,Tokyo,New York,Economy,2930.0
1290,Yes,3,Vegan,2024-11-08,PA009,New York,Tokyo,First Class,431.0
1292,Yes,0,None,2024-02-07,PA001,London,New York,Business Class,249.6
1294,Yes,1,Nut Free,2024-11-15,PA005,London,Tokyo,First Class,424.0
1298,Yes,0,Vegan,2024-11-05,PA003,London,Perth,First Class,660.0
1299,Yes,3,Egg Free,2024-12-29,PA010,Tokyo,New York,Business Class,603.6
1301,Yes,3,Dairy Free,2024-02-11,PA007,New York,Perth,Business Class,824.4
1306,Yes,1,Vegetarian,2024-12-07,PA009,New York,Tokyo,Economy,1615.0
1307,Yes,1,Dairy Free,2024-10-29,PA007,New York,Perth,First Class,477.0
1308,Yes,2,Vegetarian,2024-08-22,PA003,London,Perth,Economy,2360.0
1311,Yes,2,Nut Free,2024-01-31,PA004,Perth,London,First Class,289.0
1313,Yes,2,Nut Free,2024-06-11,PA001,London,New York,Premium Economy,1340.0
1315,Yes,3,Vegetarian,2024-01-05,PA012,Tokyo,Perth,Business Class,336.0
1316,Yes,3,Dairy Free,2024-06-30,PA006,Tokyo,London,Business Class,685.1999999999999
1318,Yes,3,Vegan,2024-07-11,PA002,New York,London,Premium Economy,777.5
1319,Yes,0,Vegan,2024-07-29,PA001,London,New York,First Class,384.0
1320,Yes,1,Vegetarian,2024-08-13,PA010,Tokyo,New York,Business Class,289.2
1322,Yes,2,Nut Free,2024-07-29,PA012,Tokyo,Perth,First Class,554.0
1323,Yes,0,Egg Free,2024-07-05,PA010,Tokyo,New York,Premium Economy,670.0
1324,Yes,2,None,2024-02-01,PA011,Perth,Tokyo,First Class,623.0
1325,Yes,3,Nut Free,2024-10-16,PA006,Tokyo,London,Premium Economy,1255.0
1329,Yes,0,Vegetarian,2024-09-12,PA002,New York,London,Premium Economy,1407.5
1330,Yes,1,Nut Free,2024-01-25,PA001,London,New York,Business Class,565.1999999999999
