,Flow Card?,Bags Checked,Meal Type,Date,Flight Number,From,To,Class,Price
713,No,1,Nut Free,2024-07-30,PA005,London,Tokyo,Premium Economy,1347.5
714,No,1,Nut Free,2024-12-06,PA011,Perth,Tokyo,Economy,2705.0
717,No,1,None,2024-07-29,PA005,London,Tokyo,Business Class,262.8
720,No,2,Egg Free,2024-01-21,PA006,Tokyo,London,First Class,647.0
721,No,1,Vegetarian,2024-04-06,PA010,Tokyo,New York,First Class,324.0
722,No,1,Egg Free,2024-04-19,PA011,Perth,Tokyo,Business Class,394.8
723,No,0,None,2024-01-18,PA007,New York,Perth,First Class,554.0
731,No,3,Vegan,2024-08-24,PA011,Perth,Tokyo,Business Class,780.0
732,No,3,Nut Free,2024-08-09,PA011,Perth,Tokyo,First Class,420.0
734,No,2,None,2024-12-23,PA008,Perth,New York,Economy,1905.0
740,No,3,Egg Free,2024-10-27,PA006,Tokyo,London,Premium Economy,1360.0
741,No,0,Dairy Free,2024-12-02,PA001,London,New York,Economy,2530.0
742,No,1,Vegetarian,2024-03-04,PA006,Tokyo,London,Premium Economy,1257.5
743,No,3,Vegan,2024-09-19,PA008,Perth,New York,First Class,495.0
745,No,1,Nut Free,2024-12-20,PA005,London,Tokyo,First Class,646.0
747,No,2,Nut Free,2024-12-23,PA004,Perth,London,Economy,2635.0
750,No,0,Dairy Free,2024-06-18,PA001,London,New York,Economy,1390.0
751,No,3,Vegetarian,2024-01-17,PA006,Tokyo,London,Economy,2140.0
753,No,2,Egg Free,2024-12-19,PA006,Tokyo,London,First Class,296.0
754,No,2,Nut Free,2024-01-04,PA003,London,Perth,First Class,443.0
758,No,2,Vegetarian,2024-10-05,PA009,New York,Tokyo,Business Class,787.1999999999998
761,No,2,Dairy Free,2024-12-23,PA009,New York,Tokyo,First Class,630.0
762,No,3,Vegan,2024-12-04,PA011,Perth,Tokyo,First Class,295.0
769,No,1,Vegan,2024-07-22,PA004,Perth,London,Economy,3170.0
772,No,0,None,2024-03-11,PA011,Perth,Tokyo,Business Class,560.4
773,No,3,Vegetarian,2024-05-24,PA008,Perth,New York,First Class,553.0
775,No,2,Egg Free,2024-02-02,PA005,London,Tokyo,Business Class,793.1999999999998
776,No,1,Dairy Free,2024-03-30,PA003,London,Perth,Premium Economy,537.5
777,No,2,None,2024-10-03,PA012,Tokyo,Perth,Premium Economy,682.5
778,No,1,Vegan,2024-03-23,PA010,Tokyo,New York,Economy,1755.0
779,No,1,Dairy Free,2024-08-15,PA008,Perth,New York,Business Class,596.4
782,No,3,Vegan,2024-03-03,PA003,London,Perth,Business Class,334.8
784,No,0,Nut Free,2024-02-05,PA012,Tokyo,Perth,Business Class,578.4
785,No,1,Nut Free,2024-01-09,PA012,Tokyo,Perth,First Class,406.0
786,No,2,None,2024-06-26,PA011,Perth,Tokyo,First Class,437.0
787,No,0,Egg Free,2024-08-08,PA008,Perth,New York,Economy,3245.0
788,No,2,Vegetarian,2024-03-04,PA009,New York,Tokyo,Premium Economy,1440.0
789,No,3,Vegan,2024-07-02,PA004,Perth,London,Business Class,417.6
790,No,1,Dairy Free,2024-09-09,PA011,Perth,Tokyo,Premium Economy,592.5
791,No,2,Dairy Free,2024-03-05,PA006,Tokyo,London,Business Class,682.8
792,No,1,Egg Free,2024-09-30,PA011,Perth,Tokyo,First Class,676.0
793,No,1,None,2024-03-24,PA006,Tokyo,London,First Class,418.0
794,No,2,None,2024-12-04,PA007,New York,Perth,First Class,564.0
795,No,0,Vegetarian,2024-07-28,PA001,London,New York,Economy,2670.0
799,No,0,Dairy Free,2024-01-06,PA011,Perth,Tokyo,Economy,3420.0
800,No,0,Vegetarian,2024-02-26,PA007,New York,Perth,Business Class,596.4
803,No,0,Egg Free,2024-06-13,PA006,Tokyo,London,Economy,2475.0
806,No,0,Dairy Free,2024-05-13,PA007,New York,Perth,Business Class,355.2
810,No,3,Dairy Free,2024-12-09,PA006,Tokyo,London,Economy,1665.0
811,No,0,Vegetarian,2024-07-07,PA005,London,Tokyo,First Class,225.0
813,No,2,Vegetarian,2024-03-15,PA002,New York,London,Economy,2870.0
817,No,1,None,2024-05-09,PA004,Perth,London,Business Class,693.6
819,No,3,Vegan,2024-02-19,PA012,Tokyo,Perth,Premium Economy,897.5
824,No,3,Nut Free,2024-07-16,PA009,New York,Tokyo,First Class,396.0
825,No,0,Vegetarian,2024-07-25,PA010,Tokyo,New York,Business Class,835.1999999999998
826,No,2,Nut Free,2024-10-10,PA001,London,New York,Premium Economy,1135.0
827,No,0,Dairy Free,2024-01-10,PA005,London,Tokyo,Business Class,651.6
828,No,0,Dairy Free,2024-04-01,PA005,London,Tokyo,Economy,1255.0
830,No,2,Vegan,2024-08-10,PA004,Perth,London,Economy,2050.0
832,No,2,Vegan,2024-10-14,PA001,London,New York,Economy,1510.0
833,No,3,Dairy Free,2024-03-22,PA012,Tokyo,Perth,First Class,481.0
834,No,3,None,2024-01-14,PA005,London,Tokyo,First Class,660.0
835,No,2,Vegetarian,2024-09-26,PA004,Perth,London,First Class,258.0
837,No,3,Dairy Free,2024-09-08,PA010,Tokyo,New York,Premium Economy,877.5
838,No,0,Egg Free,2024-07-18,PA002,New York,London,Economy,2915.0
841,No,0,Nut Free,2024-07-05,PA002,New York,London,First Class,677.0
843,No,2,Nut Free,2024-11-01,PA011,Perth,Tokyo,Economy,1745.0
844,No,2,None,2024-10-17,PA005,London,Tokyo,Business Class,708.0
845,No,2,Egg Free,2024-03-03,PA006,Tokyo,London,Business Class,790.7999999999998
848,No,2,Egg Free,2024-03-10,PA012,Tokyo,Perth,First Class,412.0
850,No,0,None,2024-01-05,PA004,Perth,London,First Class,251.0
852,No,3,Vegan,2024-11-28,PA009,New York,Tokyo,Premium Economy,1017.5
855,No,1,Dairy Free,2024-11-08,PA007,New York,Perth,First Class,255.0
856,No,0,Vegan,2024-01-07,PA002,New York,London,Economy,3215.0
857,No,0,Nut Free,2024-10-30,PA006,Tokyo,London,Premium Economy,730.0
858,No,3,Vegan,2024-05-14,PA003,London,Perth,Economy,2940.0
859,No,0,Dairy Free,2024-12-26,PA006,Tokyo,London,Premium Economy,570.0
860,No,3,None,2024-12-26,PA009,New York,Tokyo,Business Class,343.2
861,No,1,None,2024-02-19,PA011,Perth,Tokyo,Business Class,558.0
862,No,2,Vegan,2024-04-26,PA005,London,Tokyo,Economy,1645.0
863,No,0,Vegan,2024-11-14,PA011,Perth,Tokyo,First Class,435.0
864,No,2,None,2024-11-12,PA009,New York,Tokyo,Premium Economy,550.0
865,No,0,Egg Free,2024-05-20,PA003,London,Perth,Business Class,399.6
866,No,2,Egg Free,2024-02-24,PA007,New York,Perth,First Class,266.0
872,No,0,Dairy Free,2024-07-24,PA010,Tokyo,New York,First Class,560.0
873,No,1,Egg Free,2024-07-24,PA001,London,New York,Economy,1520.0
874,No,1,Nut Free,2024-05-10,PA008,Perth,New York,First Class,572.0
875,No,3,Dairy Free,2024-07-27,PA005,London,Tokyo,Premium Economy,1375.0
876,No,3,Vegan,2024-03-23,PA005,London,Tokyo,Business Class,741.6
878,No,1,Vegetarian,2024-07-12,PA002,New York,London,Business Class,795.6
880,No,3,Vegan,2024-06-15,PA004,Perth,London,Business Class,433.2
884,No,1,Dairy Free,2024-01-13,PA001,London,New York,Business Class,540.0
886,No,2,None,2024-07-07,PA011,Perth,Tokyo,First Class,462.0
887,No,0,Vegetarian,2024-10-15,PA010,Tokyo,New York,First Class,294.0
888,No,0,Nut Free,2024-11-26,PA012,Tokyo,Perth,Business Class,459.6
889,No,1,Vegetarian,2024-01-09,PA006,Tokyo,London,Premium Economy,640.0
891,No,2,Vegetarian,2024-05-14,PA011,Perth,Tokyo,Business Class,411.6
892,No,2,Nut Free,2024-12-23,PA009,New York,Tokyo,Business Class,474.0
894,No,1,Vegetarian,2024-07-01,PA009,New York,Tokyo,Economy,3005.0
898,No,2,Vegetarian,2024-07-27,PA004,Perth,London,First Class,217.0
902,No,2,Vegetarian,2024-03-14,PA005,London,Tokyo,Economy,2250.0
904,No,3,Egg Free,2024-11-17,PA001,London,New York,First Class,519.0
907,No,2,Vegan,2024-01-09,PA011,Perth,Tokyo,First Class,692.0
908,No,3,Nut Free,2024-08-22,PA011,Perth,Tokyo,Business Class,517.1999999999999
911,No,1,Egg Free,2024-08-20,PA008,Perth,New York,Premium Economy,1292.5
916,No,2,Vegetarian,2024-09-25,PA008,Perth,New York,Business Class,270.0
918,No,1,Vegetarian,2024-04-30,PA010,Tokyo,New York,First Class,626.0
920,No,0,None,2024-04-02,PA008,Perth,New York,First Class,634.0
921,No,3,Vegan,2024-05-28,PA009,New York,Tokyo,First Class,564.0
923,No,3,Vegan,2024-07-27,PA009,New York,Tokyo,Premium Economy,707.5
924,No,2,None,2024-03-23,PA002,New York,London,Premium Economy,870.0
926,No,0,Vegan,2024-12-01,PA010,Tokyo,New York,Business Class,524.4
932,No,0,Vegetarian,2024-07-30,PA004,Perth,London,First Class,437.0
933,No,0,Vegan,2024-04-01,PA011,Perth,Tokyo,Business Class,289.2
934,No,3,None,2024-03-29,PA009,New York,Tokyo,First Class,550.0
941,No,2,Dairy Free,2024-07-28,PA003,London,Perth,Business Class,328.8
942,No,0,Nut Free,2024-05-17,PA005,London,Tokyo,Economy,3390.0
944,No,2,Egg Free,2024-08-31,PA006,Tokyo,London,Premium Economy,1325.0
950,No,2,Dairy Free,2024-01-30,PA002,New York,London,First Class,699.0
953,No,1,Vegetarian,2024-03-25,PA009,New York,Tokyo,Business Class,313.2
957,No,2,Nut Free,2024-02-13,PA005,London,Tokyo,First Class,278.0
960,No,2,Dairy Free,2024-09-30,PA009,New York,Tokyo,Economy,1820.0
962,No,0,Nut Free,2024-08-05,PA009,New York,Tokyo,Economy,2055.0
963,No,2,Nut Free,2024-03-08,PA012,Tokyo,Perth,Economy,1360.0
964,No,3,Egg Free,2024-04-23,PA003,London,Perth,Premium Economy,1342.5
965,No,1,None,2024-01-18,PA010,Tokyo,New York,Economy,1710.0
975,No,1,Nut Free,2024-05-19,PA010,Tokyo,New York,Economy,3180.0
976,No,0,Vegan,2024-09-25,PA010,Tokyo,New York,First Class,476.0
978,No,3,Vegetarian,2024-01-24,PA005,London,Tokyo,Economy,2935.0
979,No,0,Vegan,2024-04-25,PA005,London,Tokyo,Economy,1335.0
981,No,1,Dairy Free,2024-07-03,PA006,Tokyo,London,Premium Economy,887.5
983,No,1,Nut Free,2024-03-18,PA006,Tokyo,London,First Class,335.0
987,No,1,Vegetarian,2024-05-28,PA009,New York,Tokyo,Premium Economy,1122.5
988,No,0,None,2024-03-02,PA008,Perth,New York,Premium Economy,1567.5
989,No,0,None,2024-12-15,PA004,Perth,London,First Class,336.0
990,No,2,Vegetarian,2024-08-29,PA004,Perth,London,Business Class,561.6
991,No,0,Egg Free,2024-10-09,PA007,New York,Perth,First Class,327.0
992,No,0,Vegan,2024-04-20,PA006,Tokyo,London,Premium Economy,507.5
993,No,1,Nut Free,2024-11-05,PA008,Perth,New York,Premium Economy,620.0
994,No,0,None,2024-07-27,PA006,Tokyo,London,Business Class,793.1999999999998
995,No,3,Vegan,2024-06-27,PA004,Perth,London,Economy,1280.0
997,No,3,Vegan,2024-11-20,PA009,New York,Tokyo,Business Class,613.1999999999999
999,No,3,Dairy Free,2024-05-01,PA004,Perth,London,Economy,2500.0
1001,No,1,Nut Free,2024-05-08,PA003,London,Perth,Premium Economy,832.5
1002,No,1,Nut Free,2024-07-19,PA011,Perth,Tokyo,Economy,3105.0
1006,No,0,None,2024-07-07,PA001,London,New York,Economy,2905.0
1007,No,1,Vegetarian,2024-11-04,PA009,New York,Tokyo,Economy,1970.0
1010,No,0,Nut Free,2024-03-10,PA012,Tokyo,Perth,Economy,1965.0
1011,No,2,None,2024-10-20,PA009,New York,Tokyo,Economy,2210.0
1012,No,2,Egg Free,2024-11-30,PA010,Tokyo,New York,Economy,3250.0
1016,No,3,Dairy Free,2024-12-30,PA001,London,New York,First Class,487.0
1018,No,0,Egg Free,2024-10-22,PA001,London,New York,Economy,2960.0
1020,No,3,Nut Free,2024-03-27,PA004,Perth,London,Economy,2985.0
1022,No,0,Egg Free,2024-09-17,PA009,New York,Tokyo,Business Class,400.8
1023,No,1,Nut Free,2024-11-16,PA008,Perth,New York,First Class,536.0
1024,No,2,Vegetarian,2024-11-23,PA001,London,New York,Economy,2595.0
1026,No,2,Nut Free,2024-12-03,PA004,Perth,London,Premium Economy,802.5
1032,No,1,Nut Free,2024-07-06,PA007,New York,Perth,Economy,3465.0
1033,No,2,Vegan,2024-02-21,PA011,Perth,Tokyo,Economy,2505.0
1037,No,1,Dairy Free,2024-05-22,PA008,Perth,New York,First Class,451.0
1041,No,2,Vegetarian,2024-06-14,PA012,Tokyo,Perth,First Class,312.0
1044,No,2,Dairy Free,2024-10-06,PA012,Tokyo,Perth,Premium Economy,510.0
1047,No,3,Nut Free,2024-10-10,PA006,Tokyo,London,Premium Economy,780.0
1050,No,3,Vegan,2024-10-30,PA001,London,New York,Premium Economy,1622.5
1051,No,1,Dairy Free,2024-08-12,PA008,Perth,New York,Premium Economy,792.5
1053,No,0,Vegetarian,2024-08-03,PA010,Tokyo,New York,Business Class,714.0
1054,No,3,Vegetarian,2024-09-21,PA011,Perth,Tokyo,Economy,1195.0
1055,No,0,Vegetarian,2024-08-19,PA009,New York,Tokyo,Economy,2725.0
1057,No,1,Vegetarian,2024-07-20,PA011,Perth,Tokyo,Business Class,684.0
1059,No,1,Dairy Free,2024-07-03,PA007,New York,Perth,Business Class,278.4
1060,No,1,None,2024-06-08,PA002,New York,London,Business Class,283.2
1062,No,0,Vegan,2024-08-02,PA008,Perth,New York,Premium Economy,1025.0
1063,No,3,Dairy Free,2024-05-17,PA009,New York,Tokyo,First Class,264.0
1066,No,0,Vegan,2024-06-07,PA007,New York,Perth,Business Class,470.4
1068,No,2,Vegetarian,2024-04-02,PA007,New York,Perth,First Class,553.0
1071,No,0,Egg Free,2024-12-21,PA004,Perth,London,Business Class,244.8
1072,No,2,Vegetarian,2024-06-05,PA010,Tokyo,New York,Premium Economy,1200.0
1073,No,1,Vegetarian,2024-07-28,PA003,London,Perth,Premium Economy,730.0
1074,No,3,Vegan,2024-12-15,PA012,Tokyo,Perth,Economy,2975.0
1077,No,3,Vegan,2024-07-08,PA005,London,Tokyo,Business Class,619.1999999999999
1078,No,3,Vegan,2024-12-09,PA008,Perth,New York,First Class,605.0
1079,No,1,Vegetarian,2024-02-22,PA011,Perth,Tokyo,First Class,632.0
1081,No,1,Egg Free,2024-01-18,PA004,Perth,London,First Class,232.0
1082,No,2,Egg Free,2024-07-21,PA012,Tokyo,Perth,First Class,361.0
1084,No,3,Egg Free,2024-04-19,PA011,Perth,Tokyo,Economy,1045.0
1085,No,1,None,2024-11-02,PA011,Perth,Tokyo,Business Class,744.0
1089,No,1,None,2024-08-07,PA010,Tokyo,New York,Premium Economy,1150.0
1093,No,1,Dairy Free,2024-02-17,PA002,New York,London,Business Class,692.4
1097,No,0,Dairy Free,2024-09-30,PA008,Perth,New York,Business Class,417.6
1100,No,0,Vegetarian,2024-12-05,PA010,Tokyo,New York,First Class,672.0
1103,No,2,Nut Free,2024-09-06,PA007,New York,Perth,Economy,3380.0
1104,No,3,Egg Free,2024-02-17,PA002,New York,London,First Class,277.0
1105,No,1,None,2024-03-07,PA003,London,Perth,Business Class,596.4
1108,No,0,Dairy Free,2024-04-24,PA001,London,New York,Business Class,382.8
1109,No,1,Vegan,2024-07-30,PA002,New York,London,Premium Economy,1527.5
1110,No,0,None,2024-07-30,PA006,Tokyo,London,Premium Economy,1692.5
1115,No,3,Egg Free,2024-07-18,PA003,London,Perth,Business Class,786.0
1117,No,0,Dairy Free,2024-11-16,PA011,Perth,Tokyo,Business Class,691.1999999999999
1118,No,3,Vegetarian,2024-05-28,PA008,Perth,New York,First Class,529.0
1119,No,3,Dairy Free,2024-12-20,PA005,London,Tokyo,Premium Economy,922.5
1123,No,3,None,2024-02-22,PA001,London,New York,Premium Economy,680.0
1124,No,0,Nut Free,2024-01-04,PA010,Tokyo,New York,Business Class,577.1999999999999
1126,No,2,Vegan,2024-08-23,PA003,London,Perth,First Class,416.0
1131,No,1,Egg Free,2024-04-13,PA003,London,Perth,Premium Economy,577.5
1132,No,0,None,2024-02-28,PA011,Perth,Tokyo,Business Class,400.8
1135,No,1,Egg Free,2024-07-13,PA011,Perth,Tokyo,Premium Economy,1615.0
1138,No,1,Egg Free,2024-03-04,PA007,New York,Perth,Premium Economy,1665.0
1140,No,1,Dairy Free,2024-04-19,PA012,Tokyo,Perth,Premium Economy,1650.0
1141,No,3,Dairy Free,2024-03-15,PA012,Tokyo,Perth,First Class,368.0
1142,No,0,Vegetarian,2024-08-14,PA007,New York,Perth,Economy,1110.0
1143,No,1,Dairy Free,2024-06-03,PA001,London,New York,Economy,3140.0
1144,No,1,None,2024-10-22,PA012,Tokyo,Perth,Business Class,810.0
1146,No,2,Nut Free,2024-02-04,PA005,London,Tokyo,Business Class,415.2
1147,No,1,Dairy Free,2024-08-09,PA010,Tokyo,New York,Business Class,242.4
1148,No,2,Vegan,2024-04-12,PA010,Tokyo,New York,First Class,670.0
1149,No,3,Vegan,2024-08-11,PA006,Tokyo,London,Premium Economy,1127.5
1150,No,0,Dairy Free,2024-04-24,PA010,Tokyo,New York,Premium Economy,1467.5
1151,No,2,Nut Free,2024-09-26,PA005,London,Tokyo,Premium Economy,945.0
1153,No,0,Dairy Free,2024-01-19,PA006,Tokyo,London,Premium Economy,710.0
1154,No,1,Nut Free,2024-09-07,PA002,New York,London,First Class,571.0
1155,No,1,Vegan,2024-06-04,PA010,Tokyo,New York,Business Class,603.6
1156,No,1,Egg Free,2024-12-10,PA006,Tokyo,London,First Class,358.0
1157,No,0,Nut Free,2024-06-22,PA011,Perth,Tokyo,Economy,2485.0
1158,No,3,None,2024-10-12,PA003,London,Perth,First Class,398.0
1159,No,3,Vegan,2024-05-01,PA004,Perth,London,Economy,2635.0
1162,No,1,Nut Free,2024-06-25,PA012,Tokyo,Perth,Business Class,475.2
1165,No,0,None,2024-10-03,PA012,Tokyo,Perth,Economy,2055.0
1168,No,0,Vegetarian,2024-10-08,PA006,Tokyo,London,First Class,654.0
1169,No,0,Vegan,2024-04-15,PA008,Perth,New York,Business Class,520.8
1170,No,2,Nut Free,2024-09-08,PA008,Perth,New York,First Class,611.0
1172,No,0,None,2024-07-26,PA005,London,Tokyo,Premium Economy,1507.5
1176,No,0,Nut Free,2024-08-10,PA003,London,Perth,Business Class,632.4
1177,No,2,Egg Free,2024-05-31,PA009,New York,Tokyo,First Class,447.0
1178,No,3,Vegetarian,2024-08-01,PA004,Perth,London,First Class,499.0
1179,No,2,Vegan,2024-02-07,PA008,Perth,New York,Premium Economy,632.5
1181,No,0,Vegan,2024-01-13,PA010,Tokyo,New York,Economy,2930.0
1183,No,2,Vegan,2024-02-22,PA009,New York,Tokyo,Business Class,655.1999999999999
1184,No,2,None,2024-02-17,PA007,New York,Perth,Economy,2770.0
1185,No,2,None,2024-10-22,PA004,Perth,London,Economy,2390.0
1186,No,3,Egg Free,2024-10-18,PA002,New York,London,First Class,532.0
1192,No,3,Nut Free,2024-07-22,PA012,Tokyo,Perth,Business Class,411.6
1193,No,2,Vegan,2024-05-22,PA012,Tokyo,Perth,First Class,223.0
1195,No,2,None,2024-08-17,PA003,London,Perth,Economy,1570.0
1197,No,1,Vegan,2024-02-17,PA012,Tokyo,Perth,Economy,1845.0
1199,No,1,Dairy Free,2024-12-10,PA005,London,Tokyo,Economy,1510.0
1200,No,1,None,2024-11-08,PA003,London,Perth,First Class,698.0
1201,No,1,None,2024-03-31,PA002,New York,London,Premium Economy,1397.5
1203,No,1,Egg Free,2024-08-25,PA002,New York,London,First Class,576.0
1208,No,3,Dairy Free,2024-05-03,PA009,New York,Tokyo,First Class,437.0
1209,No,0,None,2024-11-12,PA005,London,Tokyo,Economy,2600.0
1210,No,1,Egg Free,2024-01-31,PA002,New York,London,First Class,328.0
1211,No,1,None,2024-01-22,PA005,London,Tokyo,Business Class,376.8
1214,No,0,None,2024-03-07,PA001,London,New York,Premium Economy,1417.5
1215,No,1,None,2024-07-10,PA007,New York,Perth,Economy,1695.0
1217,No,2,Dairy Free,2024-05-19,PA006,Tokyo,London,First Class,304.0
1218,No,2,Vegan,2024-11-25,PA009,New York,Tokyo,Business Class,732.0
1219,No,3,None,2024-07-30,PA005,London,Tokyo,Premium Economy,877.5
1223,No,2,Egg Free,2024-04-05,PA002,New York,London,Business Class,820.7999999999998
1225,No,2,Vegan,2024-10-30,PA003,London,Perth,Economy,3145.0
1226,No,3,Dairy Free,2024-04-06,PA009,New York,Tokyo,Premium Economy,985.0
1228,No,3,Vegetarian,2024-11-13,PA001,London,New York,Business Class,438.0
1230,No,1,Egg Free,2024-01-29,PA007,New York,Perth,First Class,502.0
1232,No,2,Egg Free,2024-03-05,PA006,Tokyo,London,Economy,3315.0
1234,No,3,Egg Free,2024-01-16,PA009,New York,Tokyo,First Class,497.0
1235,No,2,Dairy Free,2024-02-05,PA006,Tokyo,London,Economy,1950.0
1236,No,0,None,2024-10-19,PA010,Tokyo,New York,Business Class,835.1999999999998
1237,No,1,Nut Free,2024-08-12,PA006,Tokyo,London,First Class,229.0
1239,No,2,Dairy Free,2024-01-22,PA007,New York,Perth,First Class,392.0
1241,No,0,Vegetarian,2024-04-21,PA006,Tokyo,London,Business Class,736.7999999999998
1242,No,0,Egg Free,2024-03-16,PA010,Tokyo,New York,Premium Economy,790.0
1243,No,3,Nut Free,2024-04-21,PA006,Tokyo,London,Economy,3185.0
1244,No,1,Nut Free,2024-02-22,PA006,Tokyo,London,Business Class,537.6
1245,No,1,Vegan,2024-08-19,PA005,London,Tokyo,Economy,1905.0
1246,No,0,Vegan,2024-02-27,PA002,New York,London,First Class,688.0
1247,No,3,Vegetarian,2024-05-20,PA006,Tokyo,London,First Class,445.0
1248,No,1,Egg Free,2024-10-22,PA001,London,New York,Premium Economy,1505.0
1249,No,1,Vegan,2024-04-08,PA011,Perth,Tokyo,Economy,2285.0
1250,No,1,Dairy Free,2024-06-15,PA008,Perth,New York,First Class,385.0
1253,No,3,Vegetarian,2024-05-14,PA007,New York,Perth,Premium Economy,922.5
1254,No,3,Egg Free,2024-10-24,PA011,Perth,Tokyo,Business Class,702.0
1256,No,3,None,2024-05-07,PA012,Tokyo,Perth,Business Class,730.7999999999998
1257,No,3,Vegan,2024-01-18,PA003,London,Perth,Business Class,813.6
1260,No,1,Dairy Free,2024-09-23,PA003,London,Perth,Economy,1890.0
1261,No,2,None,2024-08-17,PA011,Perth,Tokyo,Economy,3220.0
1262,No,3,Egg Free,2024-02-15,PA002,New York,London,Economy,2965.0
1263,No,2,Dairy Free,2024-10-01,PA010,Tokyo,New York,Business Class,349.2
1266,No,0,Vegan,2024-11-20,PA007,New York,Perth,Business Class,651.6
1268,No,0,Vegan,2024-12-05,PA004,Perth,London,Economy,1335.0
1273,No,3,Nut Free,2024-01-07,PA001,London,New York,Business Class,662.4
1274,No,0,Vegan,2024-09-25,PA009,New York,Tokyo,Premium Economy,1140.0
1276,No,2,Vegan,2024-01-19,PA006,Tokyo,London,First Class,392.0
1280,No,3,Vegetarian,2024-08-28,PA011,Perth,Tokyo,Business Class,428.4
1281,No,1,Vegan,2024-12-14,PA001,London,New York,Premium Economy,990.0
1284,No,0,None,2024-10-19,PA006,Tokyo,London,Premium Economy,962.5
1286,No,3,Vegan,2024-02-16,PA006,Tokyo,London,Business Class,402.0
1287,No,2,None,2024-01-07,PA011,Perth,Tokyo,First Class,368.0
1289,No,3,Vegetarian,2024-08-27,PA005,London,Tokyo,First Class,516.0
1291,No,1,Vegetarian,2024-03-27,PA010,Tokyo,New York,First Class,498.0
1293,No,0,Nut Free,2024-06-14,PA003,London,Perth,Economy,1405.0
1295,No,3,Nut Free,2024-08-26,PA001,London,New York,First Class,571.0
1296,No,3,None,2024-02-17,PA003,London,Perth,Business Class,714.0
1297,No,2,Dairy Free,2024-07-10,PA004,Perth,London,Economy,2355.0
1300,No,2,Nut Free,2024-09-05,PA003,London,Perth,Business Class,794.4
1302,No,3,Dairy Free,2024-07-20,PA003,London,Perth,First Class,582.0
1303,No,2,Egg Free,2024-06-23,PA010,Tokyo,New York,Premium Economy,1570.0
1304,No,1,None,2024-10-26,PA002,New York,London,Premium Economy,920.0
1305,No,0,Vegetarian,2024-01-21,PA005,London,Tokyo,First Class,687.0
1309,No,3,Egg Free,2024-11-23,PA007,New York,Perth,First Class,490.0
1310,No,0,Vegan,2024-09-29,PA009,New York,Tokyo,Economy,2370.0
1312,No,3,Nut Free,2024-05-27,PA007,New York,Perth,Premium Economy,1252.5
1314,No,3,Vegan,2024-03-09,PA003,London,Perth,Premium Economy,1362.5
1317,No,3,Dairy Free,2024-12-15,PA003,London,Perth,Business Class,644.4
1321,No,3,None,2024-02-12,PA001,London,New York,Business Class,295.2
1326,No,2,Vegetarian,2024-06-24,PA010,Tokyo,New York,First Class,438.0
1327,No,2,Vegetarian,2024-06-22,PA008,Perth,New York,Economy,1785.0
1328,No,0,Nut Free,2024-03-27,PA006,Tokyo,London,Economy,2755.0
1334,No,0,Vegetarian,2024-05-02,PA003,London,Perth,Business Class,640.8
1338,No,0,Nut Free,2024-08-23,PA012,Tokyo,Perth,Premium Economy,557.5
1343,No,3,None,2024-03-31,PA002,New York,London,Premium Economy,542.5
1347,No,0,Vegetarian,2024-11-10,PA009,New York,Tokyo,First Class,293.0
1349,No,2,None,2024-07-31,PA006,Tokyo,London,Business Class,358.8
1351,No,1,Egg Free,2024-03-02,PA011,Perth,Tokyo,Business Class,711.6
1352,No,3,None,2024-02-03,PA012,Tokyo,Perth,Premium Economy,1315.0
1353,No,3,Egg Free,2024-06-30,PA011,Perth,Tokyo,First Class,346.0
1356,No,0,Egg Free,2024-02-12,PA003,London,Perth,Business Class,367.2
1357,No,0,Vegan,2024-07-17,PA006,Tokyo,London,Business Class,612.0
1363,No,2,Egg Free,2024-09-23,PA005,London,Tokyo,Business Class,367.2
1364,No,2,Vegetarian,2024-09-10,PA011,Perth,Tokyo,Business Class,624.0
1366,No,3,Vegetarian,2024-10-12,PA003,London,Perth,First Class,666.0
1367,No,3,Dairy Free,2024-01-31,PA002,New York,London,Business Class,343.2
1369,No,1,Vegan,2024-05-25,PA003,London,Perth,Economy,2395.0
1370,No,0,None,2024-06-20,PA005,London,Tokyo,Economy,2130.0
1372,No,0,Nut Free,2024-09-25,PA010,Tokyo,New York,Economy,2200.0
1374,No,2,Dairy Free,2024-09-11,PA003,London,Perth,Economy,3245.0
1376,No,1,Vegan,2024-07-28,PA002,New York,London,First Class,641.0
1379,No,2,Dairy Free,2024-03-05,PA011,Perth,Tokyo,Business Class,342.0
1380,No,3,None,2024-05-18,PA012,Tokyo,Perth,Business Class,758.4
1387,No,2,Nut Free,2024-12-27,PA011,Perth,Tokyo,Business Class,445.2
1389,No,2,Vegan,2024-01-20,PA002,New York,London,Economy,2270.0
1394,No,0,Vegan,2024-10-03,PA005,London,Tokyo,Economy,1605.0
1397,No,1,Vegetarian,2024-01-03,PA006,Tokyo,London,Economy,3045.0
1398,No,1,Vegan,2024-03-07,PA005,London,Tokyo,First Class,392.0
1401,No,1,Nut Free,2024-05-01,PA009,New York,Tokyo,Premium Economy,1605.0
1405,No,2,Nut Free,2024-12-18,PA008,Perth,New York,Economy,2195.0
1406,No,3,Egg Free,2024-07-05,PA002,New York,London,Economy,2600.0
1407,No,2,None,2024-10-05,PA011,Perth,Tokyo,First Class,583.0
1412,No,0,Egg Free,2024-03-09,PA006,Tokyo,London,Business Class,426.0
1413,No,3,Vegan,2024-10-25,PA011,Perth,Tokyo,First Class,432.0
